"Step","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX"
"44","55.14","55.14","55.14","55.69","55.69","55.69","41.42","41.42","41.42","42.78","42.78","42.78","60.87","60.87","60.87","55.05","55.05","55.05","59","59","59","41.06","41.06","41.06","60.58","60.58","60.58"
"45","54.88","54.88","54.88","55.71","55.71","55.71","42.47","42.47","42.47","36.84","36.84","36.84","59.51","59.51","59.51","55.56","55.56","55.56","58.94","58.94","58.94","42.7","42.7","42.7","59.7","59.7","59.7"
"46","55.63","55.63","55.63","56.82","56.82","56.82","38.4","38.4","38.4","35.47","35.47","35.47","60.66","60.66","60.66","55.56","55.56","55.56","60.47","60.47","60.47","40.82","40.82","40.82","60.5","60.5","60.5"
"47","55","55","55","55.78","55.78","55.78","38.79","38.79","38.79","41.77","41.77","41.77","59.89","59.89","59.89","55.97","55.97","55.97","59.64","59.64","59.64","43.66","43.66","43.66","61.04","61.04","61.04"
"48","55.94","55.94","55.94","56.62","56.62","56.62","42.95","42.95","42.95","41.78","41.78","41.78","60.68","60.68","60.68","55.84","55.84","55.84","58.2","58.2","58.2","36.44","36.44","36.44","59.84","59.84","59.84"
"49","55.37","55.37","55.37","56.51","56.51","56.51","42.04","42.04","42.04","43.59","43.59","43.59","61.05","61.05","61.05","55.78","55.78","55.78","60.98","60.98","60.98","43.44","43.44","43.44","59.23","59.23","59.23"
"50","56.2","56.2","56.2","56.25","56.25","56.25","42.16","42.16","42.16","44.54","44.54","44.54","61.74","61.74","61.74","56.21","56.21","56.21","59.93","59.93","59.93","42.02","42.02","42.02","60","60","60"
"51","56.23","56.23","56.23","56.15","56.15","56.15","40.91","40.91","40.91","40.77","40.77","40.77","59.97","59.97","59.97","56.42","56.42","56.42","60.37","60.37","60.37","44.01","44.01","44.01","59.78","59.78","59.78"
"52","56.29","56.29","56.29","56.96","56.96","56.96","41.53","41.53","41.53","44.03","44.03","44.03","61.54","61.54","61.54","56.99","56.99","56.99","60.53","60.53","60.53","38.88","38.88","38.88","59.96","59.96","59.96"
"53","56.34","56.34","56.34","57.63","57.63","57.63","40.7","40.7","40.7","42.76","42.76","42.76","60.45","60.45","60.45","56.61","56.61","56.61","61.45","61.45","61.45","41.55","41.55","41.55","60.61","60.61","60.61"
"54","56.95","56.95","56.95","57.56","57.56","57.56","43.09","43.09","43.09","39.15","39.15","39.15","60.47","60.47","60.47","57.01","57.01","57.01","61.45","61.45","61.45","42.59","42.59","42.59","60.31","60.31","60.31"
"55","57.13","57.13","57.13","57.23","57.23","57.23","39.36","39.36","39.36","44.85","44.85","44.85","61.06","61.06","61.06","56.82","56.82","56.82","61.46","61.46","61.46","41.33","41.33","41.33","60.4","60.4","60.4"
